,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,address,latitude,longitude
7784,50,MARINE TER,3,1975,N,Y,N,N,N,N,0,50 MARINE TER,1.305322685,103.9158385
7786,50,PASIR RIS AVE,2,1976,Y,N,N,N,N,N,1,50 PASIR RIS AVE,1.383141919,103.9438916
7787,50,SENGKANG WEST WAY,2,2019,N,N,N,Y,N,N,0,50 SENGKANG WEST WAY,1.393075185,103.8739292
7793,50A,C'WEALTH DR,1,2013,N,N,N,N,N,Y,0,50A C'WEALTH DR,1.301261461,103.7974228
7794,50A,MARINE TER,1,1975,N,N,Y,N,N,N,0,50A MARINE TER,1.305729736,103.915737
7795,50A,SIMS DR,4,2004,N,N,N,N,Y,N,0,50A SIMS DR,1.316150757,103.8784402
7796,500,LOR 6 TOA PAYOH,4,2002,N,Y,N,N,N,N,0,500 LOR 6 TOA PAYOH,1.332855429,103.8470923
7799,500A,PASIR RIS ST 52,6,1992,N,N,N,N,Y,N,0,500A PASIR RIS ST 52,1.376411787,103.9455965
7811,501,WEST COAST DR,2,1979,Y,Y,N,N,N,N,6,501 WEST COAST DR,1.312312548,103.7593125
7812,501,WELLINGTON CIRCLE,5,1999,N,N,N,N,Y,N,0,501 WELLINGTON CIRCLE,1.451596678,103.8213734
7814,501,YISHUN ST 51,7,2016,N,N,N,N,Y,N,0,501 YISHUN ST 51,1.416567477,103.8409027
7816,501A,YISHUN ST 51,13,2016,Y,N,N,N,N,N,72,501A YISHUN ST 51,1.416583983,103.8404501
7818,501B,YISHUN ST 51,13,2016,Y,N,N,N,N,N,69,501B YISHUN ST 51,1.41704066,103.8405525
7831,502,WELLINGTON CIRCLE,1,2000,N,N,N,N,N,Y,0,502 WELLINGTON CIRCLE,1.451265049,103.8216777
7832,502,WEST COAST DR,1,1995,N,Y,Y,N,N,N,0,502 WEST COAST DR,1.311906964,103.759128
7834,502,YISHUN ST 51,1,2016,N,N,N,N,N,Y,0,502 YISHUN ST 51,1.416867081,103.8408582
7835,502A,CHOA CHU KANG ST 51,3,1993,N,N,N,N,Y,N,0,502A CHOA CHU KANG ST 51,1.388714708,103.7429563
7838,502A,WEST COAST DR,1,1980,N,Y,N,N,N,N,0,502A WEST COAST DR,1.312162717,103.7593526
7839,502A,YISHUN ST 51,13,2016,Y,N,N,N,N,N,132,502A YISHUN ST 51,1.416392787,103.8413693
7840,502B,YISHUN ST 51,13,2016,Y,N,N,N,N,N,96,502B YISHUN ST 51,1.416839015,103.8415518
7841,502C,YISHUN ST 51,13,2016,Y,N,N,Y,N,N,96,502C YISHUN ST 51,1.417323097,103.8415542
7842,502D,YISHUN ST 51,13,2016,Y,N,N,Y,N,N,81,502D YISHUN ST 51,1.41733259,103.8408611
7847,503,CANBERRA LINK,1,2000,N,N,N,N,N,Y,0,503 CANBERRA LINK,1.45056197,103.8219653
7855,503,WEST COAST DR,1,1979,N,N,Y,N,N,N,0,503 WEST COAST DR,1.311803089,103.7597514
7857,503A,BEDOK NTH ST 3,1,1993,N,N,N,N,N,Y,0,503A BEDOK NTH ST 3,1.331606321,103.9320324
7859,503A,WEST COAST DR,1,1980,N,Y,N,N,N,N,0,503A WEST COAST DR,1.311584337,103.759907
7864,504,BISHAN ST 11,1,1989,N,Y,N,N,N,N,0,504 BISHAN ST 11,1.349300046,103.8484847
7870,504,MONTREAL DR,5,1999,N,N,N,N,Y,N,0,504 MONTREAL DR,1.450892511,103.8236782
7873,504,TAMPINES CTRL 1,1,1989,N,Y,N,N,N,N,0,504 TAMPINES CTRL 1,1.356397715,103.9457017
7874,504,WEST COAST DR,2,1978,N,Y,N,N,N,N,0,504 WEST COAST DR,1.312253407,103.7596018
7876,504,YISHUN ST 51,6,2014,N,Y,N,Y,Y,Y,0,504 YISHUN ST 51,1.418407468,103.8445477
7878,504A,SERANGOON NTH AVE 4,5,1993,N,Y,N,N,Y,N,0,504A SERANGOON NTH AVE 4,1.373997687,103.8757047
7888,505,BISHAN ST 11,5,1989,N,Y,N,N,Y,N,0,505 BISHAN ST 11,1.3489143,103.8486623
7890,505,CANBERRA LINK,5,1999,N,Y,N,N,Y,N,0,505 CANBERRA LINK,1.450262019,103.8225347
7894,505,JURONG WEST ST 52,1,1985,N,N,Y,N,N,N,0,505 JURONG WEST ST 52,1.349657291,103.7184437
7900,505A,BISHAN ST 11,1,1989,N,Y,N,N,N,N,0,505A BISHAN ST 11,1.349143259,103.8486449
7901,505A,JELAPANG RD,5,1996,N,N,N,N,Y,N,0,505A JELAPANG RD,1.384955091,103.7676795
7902,505A,JURONG WEST ST 52,7,2015,N,N,N,N,Y,N,0,505A JURONG WEST ST 52,1.349350365,103.7179479
7903,505A,WOODLANDS DR 14,7,1997,N,N,N,N,Y,N,0,505A WOODLANDS DR 14,1.432151027,103.7916164
7905,505B,BISHAN ST 11,1,1989,N,Y,N,N,N,N,0,505B BISHAN ST 11,1.34870137,103.8485267
7907,505C,BISHAN ST 11,1,1989,N,Y,N,N,N,N,0,505C BISHAN ST 11,1.348648987,103.8487618
7909,505D,BISHAN ST 11,1,1989,N,Y,N,N,N,N,0,505D BISHAN ST 11,1.349068637,103.8489798
7921,506,TAMPINES CTRL 1,3,1989,N,Y,N,N,N,N,0,506 TAMPINES CTRL 1,1.355952387,103.9459374
