,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,address,latitude,longitude
7725,498C,TAMPINES ST 45,3,1995,N,N,N,N,Y,N,0,498C TAMPINES ST 45,1.360780462,103.9590134
7732,498K,TAMPINES ST 45,3,1995,N,N,N,N,Y,N,0,498K TAMPINES ST 45,1.362856161,103.956863
7735,498N,TAMPINES ST 45,1,1995,N,N,N,N,N,Y,0,498N TAMPINES ST 45,1.36269973,103.9578067
7736,499,JURONG WEST ST 41,17,2014,Y,N,N,Y,N,Y,232,499 JURONG WEST ST 41,1.348638568,103.7250867
7737,499,TAMPINES AVE 9,4,2012,N,N,N,N,Y,N,0,499 TAMPINES AVE 9,1.359222957,103.9563188
7740,499C,TAMPINES AVE 9,12,2012,Y,N,N,Y,N,N,228,499C TAMPINES AVE 9,1.359540276,103.9561088
7741,499D,TAMPINES AVE 9,1,2013,N,N,N,N,N,Y,0,499D TAMPINES AVE 9,1.359289059,103.955841
7742,5,BANDA ST,21,1973,Y,Y,N,Y,N,N,430,5 BANDA ST,1.281147584,103.8433125
7743,5,BEACH RD,16,1968,Y,N,N,Y,N,N,336,5 BEACH RD,1.298091724,103.8568538
7749,5,EUNOS CRES,2,1976,N,Y,N,N,N,N,0,5 EUNOS CRES,1.321189791,103.9032663
7756,5,JLN MINYAK,12,1964,Y,Y,N,N,N,N,143,5 JLN MINYAK,1.28787849,103.8380667
7757,5,LOR 7 TOA PAYOH,11,1969,Y,N,N,Y,N,N,258,5 LOR 7 TOA PAYOH,1.338659548,103.8558065
7768,5,UPP BOON KENG RD,7,2005,N,Y,N,Y,Y,N,0,5 UPP BOON KENG RD,1.312654496,103.8725418
7769,5A,GHIM MOH RD,2,2002,N,N,N,N,Y,N,0,5A GHIM MOH RD,1.312942442,103.78822
7770,5A,HOLLAND CL,6,1994,N,N,N,N,Y,N,0,5A HOLLAND CL,1.308817934,103.7961732
7771,5A,JLN BATU,1,2002,N,N,N,N,N,Y,0,5A JLN BATU,1.301480682,103.8834963
7773,5A,TELOK BLANGAH CRES,1,2005,N,N,N,N,N,Y,0,5A TELOK BLANGAH CRES,1.278882784,103.8189887
7775,5B,HOLLAND CL,1,1997,N,N,N,N,N,Y,0,5B HOLLAND CL,1.307970643,103.7963568
