,address,town,blk_no,street,max_floor_lvl,latitude,longitude
328,101 PASIR RIS ST 12,PASIR RIS,101,PASIR RIS ST 12,13.0,1.3671170000000001,103.9580921
332,101 POTONG PASIR AVE 1,TOA PAYOH,101,POTONG PASIR AVE 1,16.0,1.33302895,103.8685177
338,101 RIVERVALE WALK,SENGKANG,101,RIVERVALE WALK,17.0,1.38268395,103.8993469
348,101 SERANGOON NTH AVE 1,SERANGOON,101,SERANGOON NTH AVE 1,13.0,1.3710233000000003,103.8703865
353,101 SIMEI ST 1,TAMPINES,101,SIMEI ST 1,11.0,1.34098195,103.9515773
361,101 TAMPINES ST 11,TAMPINES,101,TAMPINES ST 11,11.0,1.3472489,103.9449983
368,101 TECK WHYE LANE,CHOA CHU KANG,101,TECK WHYE LANE,13.0,1.37783155,103.75414689999998
374,101 TOWNER RD,KALLANG/WHAMPOA,101,TOWNER RD,4.0,1.3194381,103.8611045
376,101 WHAMPOA DR,KALLANG/WHAMPOA,101,WHAMPOA DR,25.0,1.32042995,103.8538852
382,101 WOODLANDS ST 13,WOODLANDS,101,WOODLANDS ST 13,10.0,1.4355119999999997,103.7815025
389,101 YISHUN AVE 5,YISHUN,101,YISHUN AVE 5,4.0,1.4305988,103.82721820000002
393,101A LOR 2 TOA PAYOH,TOA PAYOH,101A,LOR 2 TOA PAYOH,17.0,1.3397228,103.8472762
398,101A PUNGGOL FIELD,PUNGGOL,101A,PUNGGOL FIELD,16.0,1.3980092,103.9059368
407,101B LOR 2 TOA PAYOH,TOA PAYOH,101B,LOR 2 TOA PAYOH,13.0,1.33952775,103.8476855
410,101B PUNGGOL FIELD,PUNGGOL,101B,PUNGGOL FIELD,17.0,1.3978726,103.9063435
416,101C PUNGGOL FIELD,PUNGGOL,101C,PUNGGOL FIELD,17.0,1.39820385,103.9067428
421,101D PUNGGOL FIELD,PUNGGOL,101D,PUNGGOL FIELD,17.0,1.3985751,103.9062533
430,102 ALJUNIED CRES,GEYLANG,102,ALJUNIED CRES,12.0,1.32031765,103.88233069999998
438,102 ANG MO KIO AVE 3,ANG MO KIO,102,ANG MO KIO AVE 3,12.0,1.3706593,103.839483
