,address,town,blk_no,street,max_floor_lvl,latitude,longitude
9286,169C PUNGGOL FIELD,PUNGGOL,169C,PUNGGOL FIELD,18.0,1.3936235,103.9142436
9292,17 BEACH RD,KALLANG/WHAMPOA,17,BEACH RD,20.0,1.3036782,103.8636489
9298,17 CANTONMENT CL,BUKIT MERAH,17,CANTONMENT CL,30.0,1.2738203,103.8398832
9307,17 DOVER CRES,QUEENSTOWN,17,DOVER CRES,30.0,1.3076417,103.78293149999999
9313,17 EUNOS CRES,GEYLANG,17,EUNOS CRES,12.0,1.3233837499999999,103.90435950000001
9317,17 HOUGANG AVE 3,HOUGANG,17,HOUGANG AVE 3,12.0,1.3507798,103.88984430000001
9323,17 JLN TENTERAM,KALLANG/WHAMPOA,17,JLN TENTERAM,22.0,1.3277896,103.8602023
9331,17 JOO SENG RD,TOA PAYOH,17,JOO SENG RD,13.0,1.3363668,103.8809044
9336,17 LOR 7 TOA PAYOH,TOA PAYOH,17,LOR 7 TOA PAYOH,20.0,1.336301,103.85718470000002
9342,17 MARINE TER,MARINE PARADE,17,MARINE TER,16.0,1.3034901,103.9143608
9348,17 MARSILING LANE,WOODLANDS,17,MARSILING LANE,14.0,1.44272005,103.77811799999999
9353,17 SENG POH RD,BUKIT MERAH,17,SENG POH RD,4.0,1.2853186,103.8332181
9355,17 ST. GEORGE'S RD,KALLANG/WHAMPOA,17,ST. GEORGE'S RD,4.0,1.3239075,103.862373
9356,17 TECK WHYE LANE,CHOA CHU KANG,17,TECK WHYE LANE,13.0,1.3792908,103.7540683
9361,17 TELOK BLANGAH CRES,BUKIT MERAH,17,TELOK BLANGAH CRES,30.0,1.27724885,103.821333
9372,17 TIONG BAHRU RD,BUKIT MERAH,17,TIONG BAHRU RD,4.0,1.2872087,103.8225666
9375,17 TOH YI DR,BUKIT TIMAH,17,TOH YI DR,14.0,1.3396678,103.772688
9384,170 ANG MO KIO AVE 4,ANG MO KIO,170,ANG MO KIO AVE 4,10.0,1.3740515,103.83731090000002
9388,170 BEDOK STH RD,BEDOK,170,BEDOK STH RD,12.0,1.3206577,103.9461681
9396,170 BISHAN ST 13,BISHAN,170,BISHAN ST 13,8.0,1.3464781,103.8533389
9404,170 BT BATOK WEST AVE 8,BUKIT BATOK,170,BT BATOK WEST AVE 8,25.0,1.3465523,103.7402816
9412,170 GANGSA RD,BUKIT PANJANG,170,GANGSA RD,22.0,1.37856355,103.766192
9422,170 HOUGANG AVE 1,HOUGANG,170,HOUGANG AVE 1,14.0,1.3514702000000003,103.8893495
9428,170 STIRLING RD,QUEENSTOWN,170,STIRLING RD,16.0,1.2909007500000003,103.8030815
9434,170 WOODLANDS ST 11,WOODLANDS,170,WOODLANDS ST 11,12.0,1.4335997,103.7765023
9439,170 YISHUN AVE 7,YISHUN,170,YISHUN AVE 7,16.0,1.41720285,103.8463072
9451,170A PUNGGOL FIELD,PUNGGOL,170A,PUNGGOL FIELD,18.0,1.3935475,103.9148704
9462,170B PUNGGOL FIELD,PUNGGOL,170B,PUNGGOL FIELD,18.0,1.3932836,103.9146494
9470,170C PUNGGOL FIELD,PUNGGOL,170C,PUNGGOL FIELD,18.0,1.3930899,103.9145082
9482,171 ANG MO KIO AVE 4,ANG MO KIO,171,ANG MO KIO AVE 4,16.0,1.3747742999999997,103.8356768
9489,171 BEDOK STH RD,BEDOK,171,BEDOK STH RD,12.0,1.3209481,103.9454722
9496,171 BISHAN ST 13,BISHAN,171,BISHAN ST 13,11.0,1.3469209,103.8535533
9503,171 BT BATOK WEST AVE 8,BUKIT BATOK,171,BT BATOK WEST AVE 8,25.0,1.34613905,103.7404775
9514,171 GANGSA RD,BUKIT PANJANG,171,GANGSA RD,22.0,1.37932915,103.7665046
9524,171 HOUGANG AVE 1,HOUGANG,171,HOUGANG AVE 1,14.0,1.3510918,103.88929660000001
9531,171 LOR 1 TOA PAYOH,TOA PAYOH,171,LOR 1 TOA PAYOH,23.0,1.33083915,103.84226840000001
9541,171 STIRLING RD,QUEENSTOWN,171,STIRLING RD,14.0,1.28998555,103.8038442
9546,171 WOODLANDS ST 11,WOODLANDS,171,WOODLANDS ST 11,10.0,1.4339999,103.7765748
9551,171 YISHUN AVE 7,YISHUN,171,YISHUN AVE 7,13.0,1.4369083,103.8321259
9563,171A EDGEDALE PLAINS,PUNGGOL,171A,EDGEDALE PLAINS,18.0,1.3945781,103.9124109
9575,171B EDGEDALE PLAINS,PUNGGOL,171B,EDGEDALE PLAINS,18.0,1.3951233,103.9128418
9581,171C EDGEDALE PLAINS,PUNGGOL,171C,EDGEDALE PLAINS,18.0,1.3947881,103.9133206
9592,172 ANG MO KIO AVE 4,ANG MO KIO,172,ANG MO KIO AVE 4,10.0,1.3745967,103.83677209999999
9596,172 BEDOK STH RD,BEDOK,172,BEDOK STH RD,12.0,1.3206302,103.9445817
9602,172 BISHAN ST 13,BISHAN,172,BISHAN ST 13,8.0,1.34705665,103.8532848
9609,172 BT BATOK WEST AVE 8,BUKIT BATOK,172,BT BATOK WEST AVE 8,25.0,1.34570115,103.7407306
9618,172 GANGSA RD,BUKIT PANJANG,172,GANGSA RD,22.0,1.3794649,103.7667527
9629,172 HOUGANG AVE 1,HOUGANG,172,HOUGANG AVE 1,13.0,1.3505502,103.8891183
9637,172 LOR 1 TOA PAYOH,TOA PAYOH,172,LOR 1 TOA PAYOH,25.0,1.33023645,103.8424289
9644,172 WOODLANDS ST 13,WOODLANDS,172,WOODLANDS ST 13,13.0,1.4339382,103.777512
9650,172 YISHUN AVE 7,YISHUN,172,YISHUN AVE 7,13.0,1.43663085,103.8313229
9660,172A EDGEDALE PLAINS,PUNGGOL,172A,EDGEDALE PLAINS,18.0,1.3952982,103.91157249999999
9671,172A LOR 1 TOA PAYOH,TOA PAYOH,172A,LOR 1 TOA PAYOH,6.0,1.33023645,103.8424289
9675,172B EDGEDALE PLAINS,PUNGGOL,172B,EDGEDALE PLAINS,18.0,1.39586815,103.91206220000001
9681,172C EDGEDALE PLAINS,PUNGGOL,172C,EDGEDALE PLAINS,18.0,1.39554445,103.9124534
9691,173 ANG MO KIO AVE 4,ANG MO KIO,173,ANG MO KIO AVE 4,13.0,1.3753649,103.83615460000001
9698,173 BISHAN ST 13,BISHAN,173,BISHAN ST 13,21.0,1.3477417,103.8542733
9703,173 BT BATOK WEST AVE 8,BUKIT BATOK,173,BT BATOK WEST AVE 8,4.0,1.3460068,103.7408408
9707,173 GANGSA RD,BUKIT PANJANG,173,GANGSA RD,20.0,1.3799758,103.76672
9715,173 HOUGANG AVE 1,HOUGANG,173,HOUGANG AVE 1,14.0,1.3502201000000003,103.8887802
9723,173 LOR 1 TOA PAYOH,TOA PAYOH,173,LOR 1 TOA PAYOH,12.0,1.3300038,103.84255039999998
9727,173 WOODLANDS ST 13,WOODLANDS,173,WOODLANDS ST 13,10.0,1.432969,103.77772139999999
9735,173 YISHUN AVE 7,YISHUN,173,YISHUN AVE 7,12.0,1.4369097999999998,103.83138939999999
9742,173A PUNGGOL FIELD,PUNGGOL,173A,PUNGGOL FIELD,17.0,1.39702045,103.90941099999999
9753,173B PUNGGOL FIELD,PUNGGOL,173B,PUNGGOL FIELD,17.0,1.3966109,103.9099019
9762,173C PUNGGOL FIELD,PUNGGOL,173C,PUNGGOL FIELD,17.0,1.39628005,103.9104176
9771,173D PUNGGOL FIELD,PUNGGOL,173D,PUNGGOL FIELD,17.0,1.3960038,103.9108185
9777,174 ANG MO KIO AVE 4,ANG MO KIO,174,ANG MO KIO AVE 4,11.0,1.3752979,103.8373575
9781,174 BISHAN ST 13,BISHAN,174,BISHAN ST 13,4.0,1.34826995,103.8542835
9782,174 BOON LAY DR,JURONG WEST,174,BOON LAY DR,11.0,1.3462838,103.70948309999999
9786,174 BT BATOK WEST AVE 8,BUKIT BATOK,174,BT BATOK WEST AVE 8,4.0,1.34562095,103.7410914
9789,174 LOMPANG RD,BUKIT PANJANG,174,LOMPANG RD,16.0,1.3802487,103.7662681
9798,174 LOR 1 TOA PAYOH,TOA PAYOH,174,LOR 1 TOA PAYOH,12.0,1.3306351,103.8419109
9803,174 WOODLANDS ST 13,WOODLANDS,174,WOODLANDS ST 13,12.0,1.433333,103.7777
9809,174 YISHUN AVE 7,YISHUN,174,YISHUN AVE 7,12.0,1.4372369,103.8322171
9817,174A EDGEDALE PLAINS,PUNGGOL,174A,EDGEDALE PLAINS,17.0,1.39643755,103.9112597
9823,174A HOUGANG AVE 1,HOUGANG,174A,HOUGANG AVE 1,13.0,1.3495959,103.8885558
9828,174B EDGEDALE PLAINS,PUNGGOL,174B,EDGEDALE PLAINS,17.0,1.39673645,103.9109573
9837,174B HOUGANG AVE 1,HOUGANG,174B,HOUGANG AVE 1,13.0,1.34963445,103.8889996
9840,174C EDGEDALE PLAINS,PUNGGOL,174C,EDGEDALE PLAINS,17.0,1.3969868,103.9105474
9844,174D EDGEDALE PLAINS,PUNGGOL,174D,EDGEDALE PLAINS,17.0,1.3974415,103.9099795
9852,175 ANG MO KIO AVE 4,ANG MO KIO,175,ANG MO KIO AVE 4,11.0,1.3757973,103.836915
9856,175 BISHAN ST 13,BISHAN,175,BISHAN ST 13,9.0,1.34884015,103.8536032
9862,175 BOON LAY DR,JURONG WEST,175,BOON LAY DR,11.0,1.3466651,103.70950360000002
9866,175 BT BATOK WEST AVE 8,BUKIT BATOK,175,BT BATOK WEST AVE 8,8.0,1.3456785,103.74190210000002
9871,175 LOMPANG RD,BUKIT PANJANG,175,LOMPANG RD,25.0,1.379796,103.7660018
9879,175 LOR 2 TOA PAYOH,TOA PAYOH,175,LOR 2 TOA PAYOH,25.0,1.3333829,103.8470403
9884,175 WOODLANDS ST 13,WOODLANDS,175,WOODLANDS ST 13,12.0,1.4335956,103.7777814
9888,175 YISHUN AVE 7,YISHUN,175,YISHUN AVE 7,16.0,1.4375665,103.83254470000001
9897,175A PUNGGOL FIELD,PUNGGOL,175A,PUNGGOL FIELD,17.0,1.3975446,103.9088686
9909,175A YUNG KUANG RD,JURONG WEST,175A,YUNG KUANG RD,20.0,1.3320486,103.7217135
9919,175B PUNGGOL FIELD,PUNGGOL,175B,PUNGGOL FIELD,17.0,1.39786085,103.9085629
9928,175B YUNG KUANG RD,JURONG WEST,175B,YUNG KUANG RD,20.0,1.33283335,103.7212045
9934,175C PUNGGOL FIELD,PUNGGOL,175C,PUNGGOL FIELD,17.0,1.3982062,103.9080472
9939,175C YUNG KUANG RD,JURONG WEST,175C,YUNG KUANG RD,20.0,1.3327886,103.721636
9945,175D PUNGGOL FIELD,PUNGGOL,175D,PUNGGOL FIELD,17.0,1.3985917,103.9078126
9951,176 ANG MO KIO AVE 4,ANG MO KIO,176,ANG MO KIO AVE 4,11.0,1.3758911,103.8361539
9955,176 BISHAN ST 13,BISHAN,176,BISHAN ST 13,11.0,1.34827415,103.8537535
9963,176 BOON LAY DR,JURONG WEST,176,BOON LAY DR,11.0,1.3472212,103.7098961
9967,176 BT BATOK WEST AVE 8,BUKIT BATOK,176,BT BATOK WEST AVE 8,12.0,1.3460029,103.7413786
9975,176 LOMPANG RD,BUKIT PANJANG,176,LOMPANG RD,22.0,1.37924675,103.7658982
9987,176 WOODLANDS ST 13,WOODLANDS,176,WOODLANDS ST 13,4.0,1.4335307,103.7784275
9989,176A EDGEFIELD PLAINS,PUNGGOL,176A,EDGEFIELD PLAINS,17.0,1.3989492000000001,103.90817879999999
9995,176B EDGEFIELD PLAINS,PUNGGOL,176B,EDGEFIELD PLAINS,17.0,1.39866725,103.9085652
10006,176C EDGEFIELD PLAINS,PUNGGOL,176C,EDGEFIELD PLAINS,17.0,1.3985028,103.9086368
10015,176D EDGEFIELD PLAINS,PUNGGOL,176D,EDGEFIELD PLAINS,17.0,1.3979079,103.9095067
10027,177 ANG MO KIO AVE 4,ANG MO KIO,177,ANG MO KIO AVE 4,12.0,1.3758467499999998,103.838119
10031,177 BISHAN ST 13,BISHAN,177,BISHAN ST 13,11.0,1.34785895,103.8535801
10038,177 BT BATOK WEST AVE 8,BUKIT BATOK,177,BT BATOK WEST AVE 8,12.0,1.3462826,103.7418635
10046,177 LOMPANG RD,BUKIT PANJANG,177,LOMPANG RD,26.0,1.37999935,103.7651484
10058,177 TOA PAYOH CTRL,TOA PAYOH,177,TOA PAYOH CTRL,4.0,1.3339105,103.8498131
10061,177 WOODLANDS ST 13,WOODLANDS,177,WOODLANDS ST 13,13.0,1.4343179,103.77810600000001
10065,177 YUNG SHENG RD,JURONG WEST,177,YUNG SHENG RD,18.0,1.3333316,103.72133030000002
10076,178 ANG MO KIO AVE 4,ANG MO KIO,178,ANG MO KIO AVE 4,13.0,1.3763809,103.8368214
10086,178 BISHAN ST 13,BISHAN,178,BISHAN ST 13,10.0,1.34812115,103.8523899
10093,178 BT BATOK WEST AVE 8,BUKIT BATOK,178,BT BATOK WEST AVE 8,12.0,1.34600415,103.7427311
10100,178 EDGEFIELD PLAINS,PUNGGOL,178,EDGEFIELD PLAINS,17.0,1.3994205,103.9084428
10111,178 LOMPANG RD,BUKIT PANJANG,178,LOMPANG RD,26.0,1.3803906,103.7647143
10120,178 TOA PAYOH CTRL,TOA PAYOH,178,TOA PAYOH CTRL,4.0,1.333544,103.849201
10122,178 WOODLANDS ST 13,WOODLANDS,178,WOODLANDS ST 13,13.0,1.434577,103.77717160000002
10128,178 YUNG SHENG RD,JURONG WEST,178,YUNG SHENG RD,18.0,1.33332115,103.7209096
10137,178A RIVERVALE CRES,SENGKANG,178A,RIVERVALE CRES,18.0,1.3893455999999997,103.9092102
10143,178B RIVERVALE CRES,SENGKANG,178B,RIVERVALE CRES,18.0,1.38866535,103.9099421
10149,178C RIVERVALE CRES,SENGKANG,178C,RIVERVALE CRES,18.0,1.3886902,103.9106098
10155,178D RIVERVALE CRES,SENGKANG,178D,RIVERVALE CRES,18.0,1.3890428,103.9107419
10161,179 ANG MO KIO AVE 5,ANG MO KIO,179,ANG MO KIO AVE 5,13.0,1.37691285,103.83618690000002
10166,179 BISHAN ST 13,BISHAN,179,BISHAN ST 13,25.0,1.34860065,103.8518574
10171,179 BT BATOK WEST AVE 8,BUKIT BATOK,179,BT BATOK WEST AVE 8,4.0,1.3457329,103.742247
10175,179 LOMPANG RD,BUKIT PANJANG,179,LOMPANG RD,26.0,1.3797897,103.7651273
10180,179 TOA PAYOH CTRL,TOA PAYOH,179,TOA PAYOH CTRL,25.0,1.3338879,103.8500755
10185,179 WOODLANDS ST 13,WOODLANDS,179,WOODLANDS ST 13,4.0,1.4348513,103.7781549
10188,179 YUNG SHENG RD,JURONG WEST,179,YUNG SHENG RD,18.0,1.3337791,103.7208144
10196,17A CIRCUIT RD,GEYLANG,17A,CIRCUIT RD,19.0,1.32986195,103.8881719
10202,17A TELOK BLANGAH CRES,BUKIT MERAH,17A,TELOK BLANGAH CRES,30.0,1.27724885,103.821333
10212,17B CIRCUIT RD,GEYLANG,17B,CIRCUIT RD,19.0,1.3299009,103.8892154
10218,18 BEDOK STH RD,BEDOK,18,BEDOK STH RD,14.0,1.3205036,103.9347465
10223,18 CANTONMENT CL,BUKIT MERAH,18,CANTONMENT CL,30.0,1.27387105,103.8394329
10234,18 DOVER CRES,QUEENSTOWN,18,DOVER CRES,30.0,1.3080632,103.7831132
10240,18 EUNOS CRES,GEYLANG,18,EUNOS CRES,12.0,1.32375375,103.9044355
10245,18 HOUGANG AVE 3,HOUGANG,18,HOUGANG AVE 3,12.0,1.36330075,103.8919272
10249,18 JLN TENTERAM,KALLANG/WHAMPOA,18,JLN TENTERAM,28.0,1.32796605,103.8597885
10256,18 JOO SENG RD,TOA PAYOH,18,JOO SENG RD,13.0,1.3367733,103.8811583
10260,18 LOR 7 TOA PAYOH,TOA PAYOH,18,LOR 7 TOA PAYOH,11.0,1.3357407,103.8564664
10264,18 MARINE TER,MARINE PARADE,18,MARINE TER,16.0,1.30321925,103.9142976
10270,18 MARSILING LANE,WOODLANDS,18,MARSILING LANE,4.0,1.4432885,103.7779231
10272,18 ST. GEORGE'S RD,KALLANG/WHAMPOA,18,ST. GEORGE'S RD,12.0,1.3241567,103.86287650000001
10276,18 TAMAN HO SWEE,BUKIT MERAH,18,TAMAN HO SWEE,9.0,1.2876934,103.8323247
10279,18 TECK WHYE LANE,CHOA CHU KANG,18,TECK WHYE LANE,12.0,1.3783781,103.753824
10284,18 TELOK BLANGAH CRES,BUKIT MERAH,18,TELOK BLANGAH CRES,14.0,1.2778848,103.8225532
10290,18 TIONG BAHRU RD,BUKIT MERAH,18,TIONG BAHRU RD,4.0,1.2858236,103.83237709999999
10292,18 TOH YI DR,BUKIT TIMAH,18,TOH YI DR,4.0,1.3399856,103.773216
10296,180 ANG MO KIO AVE 5,ANG MO KIO,180,ANG MO KIO AVE 5,9.0,1.376702,103.8385078
10301,180 BEDOK NTH RD,BEDOK,180,BEDOK NTH RD,20.0,1.3267471000000002,103.9408201
10311,180 BISHAN ST 13,BISHAN,180,BISHAN ST 13,12.0,1.34849065,103.852375
10318,180 BT BATOK WEST AVE 8,BUKIT BATOK,180,BT BATOK WEST AVE 8,10.0,1.3456695,103.7431777
10325,180 LOMPANG RD,BUKIT PANJANG,180,LOMPANG RD,25.0,1.3789269,103.7649024
10330,180 PASIR RIS ST 11,PASIR RIS,180,PASIR RIS ST 11,13.0,1.36416855,103.9604742
10338,180 YUNG SHENG RD,JURONG WEST,180,YUNG SHENG RD,18.0,1.333777,103.7211865
10350,180A BOON LAY DR,JURONG WEST,180A,BOON LAY DR,16.0,1.3476549,103.7087999
10356,180A MARSILING RD,WOODLANDS,180A,MARSILING RD,31.0,1.43906985,103.7780999
10359,180A RIVERVALE CRES,SENGKANG,180A,RIVERVALE CRES,18.0,1.3902915,103.9096746
10365,180B BOON LAY DR,JURONG WEST,180B,BOON LAY DR,16.0,1.3479392,103.7091833
10371,180B MARSILING RD,WOODLANDS,180B,MARSILING RD,31.0,1.43908195,103.7783861
10373,180B RIVERVALE CRES,SENGKANG,180B,RIVERVALE CRES,18.0,1.3899536,103.9093507
10378,180C BOON LAY DR,JURONG WEST,180C,BOON LAY DR,16.0,1.3483782,103.7088013
10389,180C RIVERVALE CRES,SENGKANG,180C,RIVERVALE CRES,18.0,1.3895528,103.9096498
10395,180D RIVERVALE CRES,SENGKANG,180D,RIVERVALE CRES,18.0,1.3893892,103.9104598
10401,181 ANG MO KIO AVE 5,ANG MO KIO,181,ANG MO KIO AVE 5,9.0,1.37672205,103.83729670000001
10405,181 BEDOK NTH RD,BEDOK,181,BEDOK NTH RD,20.0,1.3266519,103.94125860000001
10417,181 BISHAN ST 13,BISHAN,181,BISHAN ST 13,12.0,1.34887795,103.8530837
10426,181 BT BATOK WEST AVE 8,BUKIT BATOK,181,BT BATOK WEST AVE 8,4.0,1.345648,103.7434514
10429,181 EDGEFIELD PLAINS,PUNGGOL,181,EDGEFIELD PLAINS,17.0,1.39925535,103.9092184
10438,181 JELEBU RD,BUKIT PANJANG,181,JELEBU RD,30.0,1.37942535,103.7634758
10453,181 PASIR RIS ST 11,PASIR RIS,181,PASIR RIS ST 11,13.0,1.3644301,103.9606112
10461,181 STIRLING RD,QUEENSTOWN,181,STIRLING RD,13.0,1.2944348,103.8056084
10466,181 YUNG SHENG RD,JURONG WEST,181,YUNG SHENG RD,18.0,1.3337768,103.7217729
10478,181A BOON LAY DR,JURONG WEST,181A,BOON LAY DR,16.0,1.3485307000000002,103.70801339999998
10489,181B BOON LAY DR,JURONG WEST,181B,BOON LAY DR,16.0,1.348806,103.7085032
10494,182 ANG MO KIO AVE 5,ANG MO KIO,182,ANG MO KIO AVE 5,13.0,1.377282,103.8365612
10504,182 BEDOK NTH RD,BEDOK,182,BEDOK NTH RD,20.0,1.32692,103.9417428
10513,182 BISHAN ST 13,BISHAN,182,BISHAN ST 13,8.0,1.3500324499999998,103.8531737
10517,182 BT BATOK WEST AVE 8,BUKIT BATOK,182,BT BATOK WEST AVE 8,12.0,1.34566855,103.7440426
10522,182 EDGEFIELD PLAINS,PUNGGOL,182,EDGEFIELD PLAINS,14.0,1.3990879000000003,103.90947420000002
10530,182 JELEBU RD,BUKIT PANJANG,182,JELEBU RD,29.0,1.37985835,103.7634857
10541,182 PASIR RIS ST 11,PASIR RIS,182,PASIR RIS ST 11,12.0,1.36470975,103.9610033
10544,182 STIRLING RD,QUEENSTOWN,182,STIRLING RD,13.0,1.2950652,103.8052628
10549,182 YUNG SHENG RD,JURONG WEST,182,YUNG SHENG RD,18.0,1.3337778,103.7224528
10559,183 BEDOK NTH RD,BEDOK,183,BEDOK NTH RD,20.0,1.326442,103.9418514
10565,183 BISHAN ST 13,BISHAN,183,BISHAN ST 13,21.0,1.35045045,103.8524934
10571,183 BT BATOK WEST AVE 8,BUKIT BATOK,183,BT BATOK WEST AVE 8,10.0,1.3462705,103.7433822
10575,183 EDGEFIELD PLAINS,PUNGGOL,183,EDGEFIELD PLAINS,17.0,1.3987658,103.9098696
10585,183 JELEBU RD,BUKIT PANJANG,183,JELEBU RD,29.0,1.3785607,103.764889
10598,183 PASIR RIS ST 11,PASIR RIS,183,PASIR RIS ST 11,12.0,1.3649340499999998,103.96068329999999
10601,183 STIRLING RD,QUEENSTOWN,183,STIRLING RD,14.0,1.29569615,103.8048385
10609,183 TOA PAYOH CTRL,TOA PAYOH,183,TOA PAYOH CTRL,4.0,1.3333711,103.8499216
10612,183 YUNG SHENG RD,JURONG WEST,183,YUNG SHENG RD,18.0,1.3333272,103.7226339
10623,183A BOON LAY AVE,JURONG WEST,183A,BOON LAY AVE,16.0,1.3487098,103.7096594
10632,183A RIVERVALE CRES,SENGKANG,183A,RIVERVALE CRES,17.0,1.39166845,103.9079094
10638,183B BOON LAY AVE,JURONG WEST,183B,BOON LAY AVE,16.0,1.3482172,103.7097055
10647,183B RIVERVALE CRES,SENGKANG,183B,RIVERVALE CRES,17.0,1.39131415,103.9082825
10658,183C BOON LAY AVE,JURONG WEST,183C,BOON LAY AVE,16.0,1.3485771,103.70932130000001
10670,183C RIVERVALE CRES,SENGKANG,183C,RIVERVALE CRES,17.0,1.39103685,103.9085513
10681,183D BOON LAY AVE,JURONG WEST,183D,BOON LAY AVE,16.0,1.34908995,103.7090721
10692,183D RIVERVALE CRES,SENGKANG,183D,RIVERVALE CRES,17.0,1.3915968,103.9087163
10698,184 BISHAN ST 13,BISHAN,184,BISHAN ST 13,12.0,1.3500772,103.8525456
10706,184 BT BATOK WEST AVE 8,BUKIT BATOK,184,BT BATOK WEST AVE 8,4.0,1.34620425,103.7438738
10710,184 EDGEFIELD PLAINS,PUNGGOL,184,EDGEFIELD PLAINS,14.0,1.3985496,103.9100854
10718,184 JELEBU RD,BUKIT PANJANG,184,JELEBU RD,30.0,1.3796827,103.762474
10731,184 PASIR RIS ST 11,PASIR RIS,184,PASIR RIS ST 11,12.0,1.36533515,103.960313
10739,184 STIRLING RD,QUEENSTOWN,184,STIRLING RD,25.0,1.2956737,103.8042775
10749,184 TOA PAYOH CTRL,TOA PAYOH,184,TOA PAYOH CTRL,4.0,1.3328008,103.8500323
10750,184 YUNG SHENG RD,JURONG WEST,184,YUNG SHENG RD,18.0,1.3333422,103.7222914
10760,184A RIVERVALE CRES,SENGKANG,184A,RIVERVALE CRES,17.0,1.39219685,103.9077169
10770,184B RIVERVALE CRES,SENGKANG,184B,RIVERVALE CRES,17.0,1.3924731,103.907217
10780,184C RIVERVALE CRES,SENGKANG,184C,RIVERVALE CRES,17.0,1.3927213,103.90774310000002
10786,185 BEDOK NTH RD,BEDOK,185,BEDOK NTH RD,20.0,1.3262534,103.9407982
10792,185 BISHAN ST 13,BISHAN,185,BISHAN ST 13,12.0,1.34969695,103.8525922
10798,185 BOON LAY AVE,JURONG WEST,185,BOON LAY AVE,22.0,1.3465804000000001,103.71118219999997
10805,185 BT BATOK WEST AVE 6,BUKIT BATOK,185,BT BATOK WEST AVE 6,11.0,1.3469984,103.7450054
10811,185 EDGEFIELD PLAINS,PUNGGOL,185,EDGEFIELD PLAINS,17.0,1.3982245,103.9103275
10822,185 JELEBU RD,BUKIT PANJANG,185,JELEBU RD,30.0,1.3785607,103.764889
10833,185 PASIR RIS ST 11,PASIR RIS,185,PASIR RIS ST 11,12.0,1.3656073,103.9601252
10844,185 TOA PAYOH CTRL,TOA PAYOH,185,TOA PAYOH CTRL,4.0,1.3327117,103.8499764
10845,185A RIVERVALE CRES,SENGKANG,185A,RIVERVALE CRES,17.0,1.3932392,103.9071655
10854,185B RIVERVALE CRES,SENGKANG,185B,RIVERVALE CRES,17.0,1.3929461,103.9069947
10860,185C RIVERVALE CRES,SENGKANG,185C,RIVERVALE CRES,17.0,1.39322185,103.90655760000001
10866,185D RIVERVALE CRES,SENGKANG,185D,RIVERVALE CRES,17.0,1.393827,103.9063128
10872,186 BISHAN ST 13,BISHAN,186,BISHAN ST 13,11.0,1.34940615,103.852287
10878,186 BOON LAY AVE,JURONG WEST,186,BOON LAY AVE,22.0,1.34571175,103.7117541
10884,186 BT BATOK WEST AVE 6,BUKIT BATOK,186,BT BATOK WEST AVE 6,11.0,1.3466948,103.7440884
10890,186 PASIR RIS ST 11,PASIR RIS,186,PASIR RIS ST 11,13.0,1.3650458,103.9595674
10896,186 PUNGGOL CTRL,PUNGGOL,186,PUNGGOL CTRL,17.0,1.39874825,103.9110021
10908,186 TOA PAYOH CTRL,TOA PAYOH,186,TOA PAYOH CTRL,4.0,1.3326333,103.8501947
10910,186A RIVERVALE DR,SENGKANG,186A,RIVERVALE DR,17.0,1.3930692,103.90571559999998
10916,186B RIVERVALE DR,SENGKANG,186B,RIVERVALE DR,17.0,1.3927411,103.9053656
10924,186C RIVERVALE DR,SENGKANG,186C,RIVERVALE DR,17.0,1.39287195,103.9051036
10933,186D RIVERVALE DR,SENGKANG,186D,RIVERVALE DR,17.0,1.3933587,103.9053693
10942,187 BISHAN ST 13,BISHAN,187,BISHAN ST 13,11.0,1.34979195,103.8512608
10948,187 BOON LAY AVE,JURONG WEST,187,BOON LAY AVE,22.0,1.3451720500000002,103.7107016
10954,187 BT BATOK WEST AVE 6,BUKIT BATOK,187,BT BATOK WEST AVE 6,13.0,1.3464535,103.74454169999998
10964,187 PASIR RIS ST 11,PASIR RIS,187,PASIR RIS ST 11,13.0,1.36478815,103.9592878
10970,187 PUNGGOL CTRL,PUNGGOL,187,PUNGGOL CTRL,14.0,1.39887435,103.9107166
10979,187A RIVERVALE DR,SENGKANG,187A,RIVERVALE DR,17.0,1.3938706,103.9058999
10987,187B RIVERVALE DR,SENGKANG,187B,RIVERVALE DR,17.0,1.3943615,103.9059415
10996,188 BISHAN ST 13,BISHAN,188,BISHAN ST 13,12.0,1.3499544,103.8516625
11002,188 BT BATOK WEST AVE 6,BUKIT BATOK,188,BT BATOK WEST AVE 6,11.0,1.3463093,103.7459344
11010,188 PASIR RIS ST 12,PASIR RIS,188,PASIR RIS ST 12,13.0,1.3652171,103.9591615
11016,188 PUNGGOL CTRL,PUNGGOL,188,PUNGGOL CTRL,17.0,1.3999806999999997,103.9106464
11026,188A RIVERVALE DR,SENGKANG,188A,RIVERVALE DR,17.0,1.3943368,103.9050352
11036,188B RIVERVALE DR,SENGKANG,188B,RIVERVALE DR,17.0,1.3950208,103.9052951
11048,188C RIVERVALE DR,SENGKANG,188C,RIVERVALE DR,17.0,1.3953176,103.9047495
11060,188D RIVERVALE DR,SENGKANG,188D,RIVERVALE DR,17.0,1.3950779,103.9039551
11066,189 BISHAN ST 13,BISHAN,189,BISHAN ST 13,12.0,1.3502312000000003,103.8518353
11072,189 BT BATOK WEST AVE 6,BUKIT BATOK,189,BT BATOK WEST AVE 6,21.0,1.3459487,103.7463441
